hole 1 tee golden: 298 visible objects in 219 kinds; renderer 295 draws, 33.8 M tris
  objects  instances   tris  type|tag|material|name|parent|inst|tris-each|cast|matrixAuto
       1         1      528  Mesh||MeshStandardMaterial|west-cabin-b-material-07|west-cabin-b||528|cast|auto
       1         1        8  Mesh||MeshStandardMaterial|west-lakeshore-pavilion-material-00|west-lakeshore-pavilion||8|cast|auto
       1         1        6  Mesh||MeshStandardMaterial|west-lakeshore-pavilion-material-01|west-lakeshore-pavilion||6|cast|auto
       1         1       96  Mesh||MeshStandardMaterial|west-lakeshore-pavilion-material-02|west-lakeshore-pavilion||96|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-lakeshore-pavilion-material-03|west-lakeshore-pavilion||12|cast|auto
       1         1       28  Mesh||MeshStandardMaterial|west-red-house-material-00|west-red-house||28|cast|auto
       1         1       48  Mesh||MeshStandardMaterial|west-red-house-material-01|west-red-house||48|cast|auto
       1         1      128  Mesh||MeshStandardMaterial|west-red-house-material-02|west-red-house||128|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|west-red-house-material-03|west-red-house||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-red-house-material-04|west-red-house||12|cast|auto
       1         1      276  Mesh||MeshStandardMaterial|west-red-house-material-05|west-red-house||276|cast|auto
       1         1      264  Mesh||MeshStandardMaterial|west-red-house-material-06|west-red-house||264|cast|auto
       1         1      864  Mesh||MeshStandardMaterial|west-red-house-material-07|west-red-house||864|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-red-house-material-08|west-red-house||12|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|west-south-dark-shed-material-00|west-south-dark-shed||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-south-dark-shed-material-01|west-south-dark-shed||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-south-dark-shed-material-02|west-south-dark-shed||12|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|west-south-dark-shed-material-03|west-south-dark-shed||14|cast|auto
       1         1      156  Mesh||MeshStandardMaterial|west-south-dark-shed-material-04|west-south-dark-shed||156|cast|auto
       1         1      108  Mesh||MeshStandardMaterial|west-south-dark-shed-material-05|west-south-dark-shed||108|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|west-south-rust-shed-material-00|west-south-rust-shed||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-south-rust-shed-material-01|west-south-rust-shed||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-south-rust-shed-material-02|west-south-rust-shed||12|cast|auto
       1         1       16  Mesh||MeshStandardMaterial|west-south-rust-shed-material-03|west-south-rust-shed||16|cast|auto
       1         1      112  Mesh||MeshStandardMaterial|west-south-rust-shed-material-04|west-south-rust-shed||112|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-south-rust-shed-material-05|west-south-rust-shed||12|cast|auto
       1         1      108  Mesh||MeshStandardMaterial|west-south-rust-shed-material-06|west-south-rust-shed||108|cast|auto
       1        13      260  Mesh||MeshStandardNodeMaterial|||inst|20||auto
       1         1    32384  Mesh|roads|MeshStandardNodeMaterial|roads-asphalt|||32384||auto
       1         1    29304  Mesh|roads|MeshStandardNodeMaterial|roads-gravel|||29304||auto
       1         1     2902  Mesh||MeshStandardNodeMaterial||||2902||auto
       1         1    28556  Mesh|water|MeshBasicNodeMaterial||||28556||auto
       1         1    12112  Mesh|water|MeshBasicNodeMaterial||||12112||auto
       1         1    17472  Mesh|water|MeshBasicNodeMaterial||||17472||auto
       1         1     2676  Mesh|water|MeshBasicNodeMaterial||||2676||auto
       1         1     1637  Mesh|water|MeshBasicNodeMaterial||||1637||auto
       1         1    19520  Mesh|water|MeshBasicNodeMaterial||||19520||auto
       1         1    16192  Mesh|water|MeshBasicNodeMaterial||||16192||auto
       1         1    16704  Mesh|water|MeshBasicNodeMaterial||||16704||auto
       1         1     8192  Mesh|water|MeshBasicNodeMaterial||||8192||auto
       1         1     9792  Mesh|water|MeshBasicNodeMaterial||||9792||auto
       1         1    10192  Mesh|water|MeshBasicNodeMaterial||||10192||auto
       1         1     4816  Mesh|water|MeshBasicNodeMaterial||||4816||auto
       1         1     1808  Mesh|water|MeshBasicNodeMaterial||||1808||auto
       1         1      122  Mesh|water-flat|MeshBasicNodeMaterial||||122||auto
       1       263   920500  Mesh|trees|MeshBasicNodeMaterial|trees-spruce0-crown-t0||inst|3500|cast|auto
