hole 1 tee golden: 298 visible objects in 219 kinds; renderer 295 draws, 33.8 M tris
  objects  instances   tris  type|tag|material|name|parent|inst|tris-each|cast|matrixAuto
       1         1      532  Mesh||MeshStandardMaterial|site-range-east-net-material-02|site-range-east-net||532|cast|auto
       1         1      204  Mesh||MeshStandardMaterial|site-range-mats-material-00|site-range-mats||204|cast|auto
       1         1      204  Mesh||MeshStandardMaterial|site-range-mats-material-01|site-range-mats||204|cast|auto
       1         1      672  Mesh||MeshStandardMaterial|site-range-west-near-net-material-00|site-range-west-near-net||672|cast|auto
       1         1       48  Mesh||MeshStandardMaterial|site-range-west-near-net-material-01|site-range-west-near-net||48||auto
       1         1      196  Mesh||MeshStandardMaterial|site-range-west-near-net-material-02|site-range-west-near-net||196|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|trace-shed-c-material-00|trace-shed-c||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|trace-shed-c-material-01|trace-shed-c||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|trace-shed-c-material-02|trace-shed-c||12|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|trace-shed-c-material-03|trace-shed-c||14|cast|auto
       1         1      292  Mesh||MeshStandardMaterial|trace-shed-c-material-04|trace-shed-c||292|cast|auto
       1         1      108  Mesh||MeshStandardMaterial|trace-shed-c-material-05|trace-shed-c||108|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|trace-shed-d-material-00|trace-shed-d||24|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|trace-shed-d-material-01|trace-shed-d||12|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|trace-shed-d-material-02|trace-shed-d||12|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|trace-shed-d-material-03|trace-shed-d||14|cast|auto
       1         1      292  Mesh||MeshStandardMaterial|trace-shed-d-material-04|trace-shed-d||292|cast|auto
       1         1      108  Mesh||MeshStandardMaterial|trace-shed-d-material-05|trace-shed-d||108|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|west-cabin-a-material-00|west-cabin-a||24|cast|auto
       1         1       48  Mesh||MeshStandardMaterial|west-cabin-a-material-01|west-cabin-a||48|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-cabin-a-material-02|west-cabin-a||12|cast|auto
       1         1       14  Mesh||MeshStandardMaterial|west-cabin-a-material-03|west-cabin-a||14|cast|auto
       1         1      136  Mesh||MeshStandardMaterial|west-cabin-a-material-04|west-cabin-a||136|cast|auto
       1         1      132  Mesh||MeshStandardMaterial|west-cabin-a-material-05|west-cabin-a||132|cast|auto
       1         1      312  Mesh||MeshStandardMaterial|west-cabin-a-material-06|west-cabin-a||312|cast|auto
       1         1       48  Mesh||MeshStandardMaterial|west-cabin-b-material-00|west-cabin-b||48|cast|auto
       1         1       72  Mesh||MeshStandardMaterial|west-cabin-b-material-01|west-cabin-b||72|cast|auto
       1         1       24  Mesh||MeshStandardMaterial|west-cabin-b-material-02|west-cabin-b||24|cast|auto
       1         1       30  Mesh||MeshStandardMaterial|west-cabin-b-material-03|west-cabin-b||30|cast|auto
       1         1       12  Mesh||MeshStandardMaterial|west-cabin-b-material-04|west-cabin-b||12|cast|auto
       1         1      248  Mesh||MeshStandardMaterial|west-cabin-b-material-05|west-cabin-b||248|cast|auto
       1         1      132  Mesh||MeshStandardMaterial|west-cabin-b-material-06|west-cabin-b||132|cast|auto
