hole,tee,cardMetres,latitude,longitude,eastingEpsg3006,northingEpsg3006,coordinateBasis,reviewStatus,sourceCapturedAt,sourceKey,platformId,sourcePadId,platformBoundaryReviewed,insideAnyMappedPlatform,legacyX,legacyZ,sourcePixelAgreementMetres,serializedPositionErrorMetres,bootNormalizationErrorMetres,legacyToRuntimeBridgeResidualMetres,publishedRoutingStartErrorMetres,decorativeMarkerCount,decorativeMarkerMinimumEdgeClearanceMetres
16,tee-57,280,63.2943446281,18.9402604071,697479.219,7024454.307,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:07:43Z;2024-06-27T15:19:09Z,hole-16-tees,h16-tee-pad-00-lm2024,h16-tee-pad-00-lm2024,true,true,-51.999999691697454,540.4999995037821,0,0,0,0.009588,,2,0.199644
16,tee-48,250,63.2939561624,18.9399864322,697468.16,7024410.24,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:07:43Z;2024-06-27T15:19:09Z,hole-16-tees,h16-tee-pad-48-followup-lm2024,h16-tee-pad-48-followup-lm2024,true,true,-65.70411117970991,583.7439992873637,0,0,0,0.012915,,2,1.006662
16,tee-41,210,63.2940544736,18.9390188933,697419.041,7024418.198,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-114.1,572.8,,0,0,0.021427,,0,
17,tee-61,400,63.2940194991,18.9368667822,697311.52,7024407.68,reviewed-orthophoto-pixel,visible-interior-anchor,2024-06-27T15:07:43Z,hole-17-tees,,,false,true,-221.74769002234703,576.6933604462408,0,0,0,0.041677,0.001,2,0.531721
17,tee-57,385,63.2941170918,18.9368737237,697311.2,7024418.56,reviewed-orthophoto-pixel,visible-interior-anchor,2024-06-27T15:07:43Z,hole-17-tees,,,false,true,-221.40048062913232,565.8293421269741,0,0,0,0.040846,,2,0.198124
17,tee-48,335,63.294631852,18.9367714918,697302.56,7024475.52,reviewed-orthophoto-pixel,visible-interior-anchor,2022-07-03T07:37:52Z,tee-2022-hole-17,,,false,true,-226.51407729374404,508.5262366750652,0,0,0,0.037704,,2,0.199721
17,tee-41,275,63.2951054977,18.9371616206,697318.854,7024529.421,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-207,455.8,,0,0,0.030939,,0,
18,tee-61,348,63.297726142,18.9369385932,697289.76,7024820.32,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:07:43Z;2024-06-27T15:08:07Z,hole-18-tees,h18-tee-pad-01-lm2024,h18-tee-pad-01-lm2024,true,true,-218.1557350510596,164.0698743377925,0,0,0,0.013982,0.001,2,1.40389
18,tee-57,335,63.2977860554,18.9369596907,697290.406,7024827.051,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:07:43Z;2024-06-27T15:08:07Z,hole-18-tees,h18-tee-pad-01-lm2024,h18-tee-pad-01-lm2024,true,true,-217.10044772467606,157.4003091333887,0,0,0,0.01353,,2,0.199426
18,tee-48,310,63.2978577602,18.9377427528,697329.12,7024837.44,reviewed-orthophoto-pixel,reviewed-platform,2024-06-27T15:07:43Z;2024-06-27T15:08:07Z,hole-18-tees,h18-tee-pad-00-lm2024,h18-tee-pad-00-lm2024,true,true,-177.93201055772928,149.41813582801387,0,0,0,0.010181,,2,0.194216
18,tee-41,210,63.2987247934,18.9383311626,697352.646,7024935.722,unreviewed-legacy-reference-projected,unreviewed-outside-mapped-platforms,,,,,false,false,-148.5,52.9,,0,0,0.004957,,0,
