hole,tee,teeIndex,cardMetres,localX,localZ,longitude,latitude,eastingEPSG3006,northingEPSG3006,previousLocalX,previousLocalZ,changeMetres,association,sourceReviewId,sourcePadId,associatedPadBoundaryProvenance,associatedPadRetainedHistorical,associatedPadBoundaryClearanceMetres,containingPadIds,insideSourceTracedPad,projectionRoundtripMetres,dailyMarkerVerified
10,55,3,478,124.47965341890111,-593.5864493484746,18.67598734997617,63.28983225340773,684274.3571420216,7023165.244527768,129,-597.1,5.725257321211602,provisional-platform,lm-2024-h10-tee-associations,lm-2024-h10-tee-1,reviewed-lm-orthophoto,False,0.3241897149812766,"[""lm-2024-h10-tee-1""]",True,8.107124523615548e-10,False
10,48,4,417,89.30674337291036,-643.6367110188064,18.67528452558229,63.29028186050143,684236.2829765817,7023213.258889657,91.6,-645.3,2.8329412617720093,provisional-platform,lm-2024-h10-tee-associations,lm-2024-h10-tee-2,reviewed-lm-orthophoto,False,0.5885267815159079,"[""lm-2024-h10-tee-2""]",True,2.3795800335595833e-09,False
10,40,5,354,53,-695.1,18.674559044953263,63.29074416097736,684196.9940682985,7023262.621169225,53,-695.1,0.0,unresolved,,,,False,,[],False,0.0,False
11,65,0,344,-256.4,-982.7,18.668376620263846,63.29332770391664,683870.8700907227,7023532.3823067155,-256.4,-982.7,0.0,provisional-platform,lm-2024-h11-tee-associations,lm-2024-h11-rear-platform-historical,dtm,True,0.7808688094430286,"[""lm-2024-h11-rear-platform-historical""]",False,0.0,False
11,61,1,339,-260.3710295876697,-985.1741175196582,18.668297271229054,63.293349929190796,683866.7544506894,7023534.628056644,-260.1,-986,0.8692174116570863,provisional-platform,lm-2024-h11-tee-associations,lm-2024-h11-rear-platform-historical,dtm,True,0.7275751398001437,"[""lm-2024-h11-rear-platform-historical""]",False,0.0,False
11,58,2,333,-264.8373497667115,-988.2488946511013,18.668208025307443,63.293377550257375,683862.1087683866,7023537.445898526,-264.6,-990,1.7671176686060397,provisional-platform,lm-2024-h11-tee-associations,lm-2024-h11-rear-platform-historical,dtm,True,0.3220968576273423,"[""lm-2024-h11-rear-platform-historical""]",False,0.0,False
11,55,3,297,-285.47204696946204,-1019.6104007358078,18.66779570319547,63.29365927417118,683839.6633999461,7023567.6151222,-291.4,-1013.9,8.23099651899932,provisional-platform,lm-2024-h11-tee-associations,lm-2024-h11-tee-2,reviewed-lm-orthophoto,False,0.7455235310268545,"[""lm-2024-h11-tee-2""]",True,7.909761734481435e-10,False
11,48,4,245,-317.0348908146299,-1064.4004161036075,18.667165015073117,63.29406162788451,683805.5137597625,7023610.582696844,-330.3,-1048.6,20.63046947470984,provisional-platform,lm-2024-h11-tee-associations,lm-2024-h11-forward-platform-historical,osm,True,0.746204384025512,"[""lm-2024-h11-forward-platform-historical""]",False,8.107124523615548e-10,False
11,40,5,208,-357.9,-1073.2,18.66634844926845,63.29414067553,683764.1156743105,7023617.038422094,-357.9,-1073.2,0.0,unresolved,,,,False,,[],False,7.909761734481435e-10,False
12,65,0,174,-506.3,-1046.3,18.66338312339932,63.29389902982393,683617.1471210737,7023581.649301414,-506.3,-1046.3,0.0,provisional-platform,lm-2024-h12-tee-associations,lm-2024-h12-tee-1,reviewed-lm-orthophoto,False,3.2560603837633346,"[""lm-2024-h12-tee-1""]",True,7.909761734481435e-10,False
